county,fips,latitude,state,longitude,number_of_deaths,total_population,area_per_square_mile,population_density_per_square_mile,minority_percentage,limited_english,multi_unit_housing,mobile_homes,overcrowding_rank,no_vehicle_household,institutionalized_ranker,housing_and_transportation,social_vulnerability,"Less than a high school diploma, 2015-19","High school diploma only, 2015-19","Some college or associate's degree, 2015-19","Bachelor's degree or higher, 2015-19"
Marion,20115,38.35887192,Kansas,-97.09689919,179,-0.274255175,-0.049794619,-0.141848466,-0.882718253,-0.941122433,-0.524528069,-0.655683937,-0.596434405,-1.100677555,1.240229398,-0.857075118,-1.120623966,-0.132454386,-0.162327728,-0.152742796,-0.151084597
Marshall,20117,39.78357378,Kansas,-96.52294833,141,-0.281175058,-0.062007573,-0.142886377,-1.231095876,-1.402224727,0.214979377,-1.3872498,-1.157162498,-0.62582858,-0.209175151,-1.375488771,-1.454803343,-0.133818654,-0.160560635,-0.156362897,-0.153891143
Meade,20119,37.23814231,Kansas,-100.366253,57,-0.298560881,-0.040437665,-0.146592099,0.151679323,1.116288473,-1.540616139,-1.043064822,0.934145613,-1.100677555,0.569330515,-1.057930107,-0.148213921,-0.133793545,-0.170679968,-0.161286404,-0.156505509
Miami,20121,38.5635382,Kansas,-94.83810316,396,-0.210979761,-0.151852523,-0.1173587,-0.866095861,-1.393622072,-0.067824312,-1.043064822,-1.545172493,-0.62582858,0.165199574,-1.355403272,-1.496705628,-0.130571194,-0.139933494,-0.132426501,-0.13399875
Mitchell,20123,39.39327324,Kansas,-98.2093782,64,-0.292443704,-0.116932326,-0.144050299,-1.398704991,-0.606995323,0.17867817,-1.167123463,-0.317454872,-0.50746143,0.947165265,-0.521855067,-1.229708426,-0.136446753,-0.168150134,-0.158528231,-0.154609096
Montgomery,20125,37.1925276,Kansas,-95.7428868,608,-0.207971918,-0.133063322,-0.119854698,0.241024678,0.432549475,0.533047095,-0.568600991,0.136319529,1.217662133,0.442693593,0.87477971,0.981762566,-0.117723641,-0.143799306,-0.128184129,-0.143005805
Morris,20127,38.68743016,Kansas,-96.64989338,,-0.294304384,-0.118735684,-0.144487597,-0.7899099,-0.996867636,0.028978907,-0.160486071,-1.426104306,-0.261064506,-0.731638953,-1.177057894,-1.226591727,-0.135266619,-0.167202631,-0.159507887,-0.155395945
Morton,20129,37.1913947,Kansas,-101.7992582,,-0.302488299,-0.10919733,-0.146731304,0.554079719,1.516139866,-1.446924452,0.535831933,-1.219119491,-0.898452628,0.573828548,-1.137233198,-0.299200666,-0.135752064,-0.171651158,-0.162194582,-0.157364878
Nemaha,20131,39.78341456,Kansas,-96.01408956,116,-0.2805169,-0.112603967,-0.141152011,-1.3810437,-1.403257046,0.545147498,-1.05826978,-1.105589358,-0.798375446,0.648911094,-0.907981469,-1.3003536,-0.135015527,-0.161640788,-0.157140736,-0.152440731
Neosho,20133,37.55849016,Kansas,-95.30679083,240,-0.261507212,-0.153012397,-0.133119524,-0.546461123,0.084314011,-0.238267122,-0.513655798,0.526406295,0.467083267,0.486981916,0.31030793,0.3400689,-0.129935094,-0.1575002,-0.147033043,-0.151461704
Ness,20135,38.47942541,Kansas,-99.91615805,,-0.302445242,-0.013679245,-0.147466311,-0.286043655,1.027509077,0.447307102,-0.611796896,-0.700965197,-1.405050226,-0.251041455,-1.164937334,-1.008076507,-0.136647626,-0.171025806,-0.161652198,-0.15705304
Norton,20137,39.78439075,Kansas,-99.90349711,71,-0.294722652,-0.068135603,-0.14552208,-0.446034174,0.65518618,1.048178509,-0.766956591,0.785310378,-0.898452628,1.630174235,0.882744649,-0.055751855,-0.13458867,-0.167557945,-0.159255615,-0.155812938
Osage,20139,38.65231404,Kansas,-95.72693332,240,-0.262605167,-0.115900751,-0.136426519,-0.979682204,-1.14276866,0.272369856,-0.002216272,-0.116008113,-0.50746143,-0.872461978,-0.689465093,-0.767744395,-0.12974259,-0.153762301,-0.1502411,-0.150863409
Osborne,20141,39.35033445,Kansas,-98.76795115,,-0.300295465,-0.064132077,-0.146708579,-1.333600624,-0.792124453,-0.820815063,-1.167123463,-0.554552862,-1.300486825,0.514316115,-1.412889355,-1.169105948,-0.136957307,-0.169959865,-0.161416744,-0.156364094
Ottawa,20143,39.13253783,Kansas,-97.65021722,96,-0.293350978,-0.111688399,-0.144409222,-1.081148052,-1.716737784,-1.061785932,-0.436594302,-1.453794582,-1.047878214,-0.518847404,-1.617899965,-1.645614574,-0.13651371,-0.167278432,-0.159196752,-0.154910057
Pawnee,20145,38.18132965,Kansas,-99.23671536,126,-0.290779857,-0.102405355,-0.143998639,-0.023548388,1.070178244,-0.367222838,-1.258698784,-1.64658813,-1.369850665,1.641246316,-1.314885973,-0.89033455,-0.134354317,-0.166349879,-0.157313122,-0.155018838
Phillips,20147,39.7845704,Kansas,-99.34701803,,-0.29495024,-0.065968262,-0.145599669,-1.031280878,-0.842363957,-0.121757534,-0.766956591,-0.925948692,-1.181774582,0.048250723,-1.294800474,-1.208930433,-0.135860871,-0.167657433,-0.159894704,-0.15559175
Pottawatomie,20149,39.37901833,Kansas,-96.34244795,218,-0.241325756,-0.078385942,-0.133882605,-0.471314061,0.27494884,-0.215449221,-0.299058537,0.719199844,-1.405050226,-0.57732183,-0.911098184,-1.367535775,-0.130981311,-0.153340662,-0.145334412,-0.140054218
Pratt,20151,37.64774049,Kansas,-98.73963171,138,-0.281894726,-0.107727988,-0.141680162,-0.388548403,0.76805301,1.022940527,-0.832959935,-0.042282752,-0.261064506,0.924329099,0.355673454,-0.2067386,-0.134203662,-0.16691838,-0.155770059,-0.151824307
Rawlins,20153,39.78519523,Kansas,-101.0758575,,-0.303952239,-0.015152503,-0.147713361,-0.77017081,0.427043776,-1.629813391,-1.50405153,-1.634473634,-1.334651105,-0.461756989,-1.722829381,-1.632108879,-0.137593407,-0.17151377,-0.161971742,-0.156922503
Reno,20155,37.95295793,Kansas,-98.08599136,876,-0.115589936,0.036323746,-0.120769051,-0.047789376,0.337232061,0.806170462,-1.205826995,0.799847773,0.467083267,0.964811393,0.89902083,0.256264331,-0.096849506,-0.117567684,-0.092979588,-0.125887325
Republic,20157,39.82777583,Kansas,-97.65062641,74,-0.2971523,-0.112619051,-0.145346004,-1.511945034,-0.545744422,0.00166657,-1.094554341,-1.50571385,-1.002670935,0.135443357,-1.444749112,-1.549689509,-0.137082853,-0.168533873,-0.160075499,-0.155374188
Rice,20159,38.34717355,Kansas,-98.2009988,141,-0.281218115,-0.110165739,-0.141422362,0.014890892,0.388847989,-0.240687203,-1.205826995,-0.150274829,-1.002670935,1.250263471,-0.743488159,-0.528797482,-0.133852133,-0.165478176,-0.154866084,-0.153379873
Riley,20161,39.29647814,Kansas,-96.7351879,436,-0.081073558,-0.142406285,-0.080596481,0.383007606,0.477627386,1.676707979,-0.873391303,1.473067613,0.136483472,1.572045812,1.602705895,-0.407246226,-0.124837921,-0.140009294,-0.115898488,-0.096117631
Rooks,20163,39.35023401,Kansas,-99.32502508,73,-0.295946703,-0.064676575,-0.145820111,-1.182613901,-0.64519111,-0.194359948,-1.273903743,-0.630701122,-0.944695188,0.791810134,-1.088750959,-0.882715953,-0.134848132,-0.168955512,-0.159919931,-0.155530108
Rush,20165,38.52313451,Kansas,-99.30916161,,-0.302146918,-0.112510633,-0.14660672,-1.101926042,-1.362996622,-0.872328204,-1.180600586,-0.926987077,-1.334651105,0.119873244,-1.571495536,-1.474542436,-0.136806651,-0.171035281,-0.161677425,-0.156654176
Russell,20167,38.91481235,Kansas,-98.7623957,122,-0.290324682,-0.065860843,-0.144657108,-0.865056962,-0.337560177,0.830371267,-1.216885147,-1.582554366,-0.898452628,-0.189453007,-1.335664075,-0.820728275,-0.133207663,-0.167614795,-0.157233235,-0.154308136
Saline,20169,38.783818,Kansas,-97.64996272,756,-0.140981295,-0.111828226,-0.106138547,0.21678369,0.770117647,0.716973211,-0.964966624,-1.088975193,0.567160449,0.496669986,-0.223342997,-0.274959675,-0.111781125,-0.121310321,-0.112080774,-0.121760904
Scott,20171,38.4821802,Kansas,-100.9068688,,-0.296567955,-0.11255988,-0.145199807,0.126399436,1.075683943,-1.050722707,-0.070293019,0.773195882,-1.695964241,-0.284257697,-1.110914268,-1.139324159,-0.134053007,-0.170002503,-0.160844928,-0.155599002
Sedgwick,20173,37.68477483,Kansas,-97.46099343,6576,1.251219288,-0.035059317,0.134389539,0.722727734,1.026476758,1.420179449,-1.205826995,0.226659056,0.086099788,-0.82194561,-0.233039445,-0.029086765,0.15054331,0.240711644,0.288337763,0.213751886
Seward,20175,37.19333637,Kansas,-100.8513497,177,-0.240510748,-0.134224494,-0.128869303,1.59817369,1.705742376,0.323882998,0.689954925,1.603211911,-0.691741483,0.078006939,0.983864747,1.390742716,-0.101787653,-0.156524272,-0.150796098,-0.153379873
Shawnee,20177,39.04151499,Kansas,-95.75652834,2632,0.237367176,-0.160621778,0.033568376,0.499018047,0.638669082,1.453369124,-1.3872498,0.385532015,0.965053522,0.429545498,0.908024674,0.168304163,-0.059779921,0.005110273,-0.013522356,-0.023317857
Sheridan,20179,39.3503541,Kansas,-100.4418484,,-0.304059882,-0.06317612,-0.147477573,-1.036821675,0.513758536,-0.341984856,-1.258698784,-1.633435249,-1.669737118,-1.043387222,-1.705167994,-1.535144914,-0.137651995,-0.171182144,-0.16217356,-0.157082048
Sherman,20181,39.35145697,Kansas,-101.7199946,77,-0.293246411,-0.01884921,-0.145862834,-0.045711577,-0.594951607,0.417574684,-0.299058537,-1.656625855,-1.546538656,-0.164194823,-1.397305778,-0.652080237,-0.135618148,-0.168244885,-0.158292777,-0.155298042
Smith,20183,39.78516811,Kansas,-98.78547037,,-0.300433863,-0.063312568,-0.146744254,-1.649772364,-1.716737784,-0.875785462,-1.3872498,-1.677393562,-0.261064506,-0.339272097,-1.622401887,-1.591591793,-0.136672736,-0.169524014,-0.161269585,-0.15634959
Stafford,20185,38.03099641,Kansas,-98.71743981,68,-0.298640844,-0.091944762,-0.146034555,0.043633778,1.179948118,-1.727653787,-0.926263092,-0.542438366,-1.100677555,0.492517956,-1.50535191,-0.69848442,-0.135994787,-0.170106728,-0.160844928,-0.15589271
Stanton,20187,37.56301129,Kansas,-101.7842258,,-0.305311612,-0.122868066,-0.14731412,1.001499093,1.483449778,-0.675264509,1.427049865,-1.179314719,-0.567852833,-0.602580014,-0.838374826,-0.375386638,-0.135952938,-0.17233336,-0.163619918,-0.15765496
Stevens,20189,37.19234603,Kansas,-101.3120657,67,-0.294169062,-0.109880293,-0.14465431,0.9862619,1.540227299,0.105038578,1.038632278,-1.627897193,-1.623494558,-0.446186875,-1.179135704,-0.432872417,-0.131826655,-0.169813002,-0.159491069,-0.15678834
Sumner,20191,37.23731813,Kansas,-97.47655038,340,-0.239514285,0.015912983,-0.137975444,-0.503173645,-1.011320096,-0.104125519,-0.366444151,-0.888566819,-1.002670935,0.069356876,-1.099832614,-1.043399094,-0.128169078,-0.148299946,-0.142832716,-0.14534822
Thomas,20193,39.35092515,Kansas,-101.05557,86,-0.287492143,-0.01369344,-0.144949429,-0.658662266,-0.94318707,-0.075430279,-0.172580925,-1.12081901,-1.463025973,0.989031569,-0.927720666,-1.568389702,-0.135417274,-0.167846933,-0.15589199,-0.154424169
Trego,20195,38.91431289,Kansas,-99.87283118,,-0.302814303,-0.06497054,-0.147212861,-1.46138526,-1.238086075,0.650939587,-1.297056749,-1.730351215,-1.633502276,0.479023858,-1.460332689,-1.701715153,-0.137041004,-0.170973693,-0.161883447,-0.156610664
Wabaunsee,20197,38.95327272,Kansas,-96.20497727,97,-0.290410796,-0.09132099,-0.144168877,-0.856053166,-0.139010906,-1.154094716,-0.715121504,-0.051974349,-1.434728287,-0.665552472,-1.543098796,-1.400780563,-0.136421643,-0.166311978,-0.158015278,-0.154387909
Wallace,20199,38.91668772,Kansas,-101.7636252,,-0.306944704,-0.058277098,-0.148079036,-1.071105357,0.808313434,-0.474052105,0.075881926,-1.730351215,-1.463025973,-0.936472443,-1.619977775,-0.989376314,-0.137769172,-0.172811849,-0.163586282,-0.157274227
Washington,20201,39.78418775,Kansas,-97.0875441,,-0.2945535,-0.063507378,-0.145553676,-1.087727749,0.493112164,-0.152527128,-1.241074854,-1.561786659,-1.534460375,0.47244981,-1.540674684,-1.266069912,-0.135534451,-0.166676767,-0.160273112,-0.155689653
Wichita,20203,38.48207915,Kansas,-101.3473873,,-0.30514861,-0.112288219,-0.147365058,0.872675558,1.580831829,-1.237760355,0.236570696,1.540216533,-1.434728287,-0.862427905,-0.901401736,-0.139556424,-0.136563929,-0.172167547,-0.16279583,-0.157412016
Wilson,20205,37.55927047,Kansas,-95.74342653,142,-0.284272091,-0.1533041,-0.14030903,-0.774672708,-0.68132226,-0.521416537,0.423522577,-0.318839386,0.60788151,-0.487015173,-0.23200054,0.300590715,-0.132471125,-0.16447856,-0.155631309,-0.154942691
Woodson,20207,37.88670228,Kansas,-95.74014202,,-0.302017747,-0.173403695,-0.14548318,-0.912500038,-1.01544937,-1.260923982,-0.387178186,0.16297142,0.295916776,-1.541284845,-1.22103821,-0.546458775,-0.136446753,-0.170272541,-0.161509244,-0.157092926
Wyandotte,20209,39.11462219,Kansas,-94.76455808,2309,0.185729468,-0.269256896,0.444603493,1.462424159,1.557776715,1.317844618,-1.430100139,1.255006688,1.364672063,-1.35928752,0.555143236,1.46346569,0.046373509,-0.015346318,-0.039485337,-0.089877236
Adair,21001,37.10417185,Kentucky,-85.28063706,320,-0.252901952,-0.199023276,-0.122749111,-0.932239128,-1.180964447,-0.259356395,1.027574126,0.870457977,0.086099788,1.271023622,1.368952244,0.514257737,-0.115673054,-0.149706988,-0.151435187,-0.151030206
Allen,21003,36.75125722,Kentucky,-86.19042079,385,-0.24901144,-0.215896487,-0.116051462,-1.332561725,0.375771954,-0.883391429,1.149559365,0.21904423,0.912254181,-1.122621798,0.069974547,0.561700819,-0.116702533,-0.147793031,-0.148571901,-0.150101943
Anderson,21005,38.0039215,Kentucky,-84.9909968,388,-0.244564262,-0.255350001,-0.088771829,-1.069027558,-1.518532619,-1.318314462,-0.554432733,-1.142971231,-1.181774582,-1.572079069,-1.700666072,-1.379656271,-0.125239669,-0.147480355,-0.143816576,-0.147291771
Ballard,21007,37.05848852,Kentucky,-88.99926355,155,-0.286547963,-0.242939617,-0.130513306,-0.90903704,-1.524038318,-1.106730284,0.643648914,-0.749769309,-0.072298235,-0.555177669,-0.925642856,-0.848432265,-0.132211663,-0.16442171,-0.156989373,-0.155279912
Barren,21009,36.96559197,Kentucky,-85.93366783,749,-0.178686971,-0.176248636,-0.099651073,-0.559620517,-0.344098195,-0.335416067,0.124261341,0.267502213,0.417734864,-0.218171216,0.060278099,0.820733125,-0.095836767,-0.114611475,-0.134255472,-0.140844692
Bath,21011,38.14495977,Kentucky,-83.74268129,257,-0.274562725,-0.234041885,-0.124873323,-1.312476335,-1.17442643,-0.205423173,1.621604225,-0.274534944,1.045115267,-1.287664999,0.41177433,0.923237887,-0.122352108,-0.15811134,-0.157893347,-0.154224737
Bell,21013,36.73065308,Kentucky,-83.67408693,708,-0.22669866,-0.211836986,-0.106156558,-1.128591128,-0.871957089,0.254737842,1.326835363,0.784271993,1.699758076,0.746829807,1.701748182,1.579476147,-0.090153713,-0.139630293,-0.147722586,-0.152248552
Boone,21015,38.96996406,Kentucky,-84.72801835,1433,0.074639197,-0.243062275,0.134868514,-0.349070223,0.488638784,1.485175896,-1.205826995,-1.293883237,-1.270808764,-1.389043737,-1.48907573,-1.323555691,-0.089057277,-0.062441957,-0.044333161,-0.058678887
Bourbon,21017,38.20674588,Kentucky,-84.2171675,338,-0.250293925,-0.231017871,-0.110632532,-0.066835866,1.060543271,-0.700848217,-0.513655798,-0.771575402,0.843925622,-0.917788307,-0.993864292,0.268384827,-0.11938922,-0.150374977,-0.148143039,-0.148626149
Boyd,21019,38.35956921,Kentucky,-82.68778459,975,-0.161990062,-0.266968667,0.020479743,-0.904535142,-1.435258921,0.92924884,0.021973436,-1.119780625,1.184533135,1.00010365,0.990790781,0.229945541,-0.104591517,-0.119401103,-0.115087014,-0.134553533
Boyle,21021,37.62434329,Kentucky,-84.86684383,478,-0.220627616,-0.261279996,-0.057617365,-0.146138526,-0.257383435,-0.776562163,-0.697497574,-1.446179756,0.567160449,1.460633001,-0.536399739,-0.400666529,-0.116652314,-0.142330676,-0.14126863,-0.140264528
Bracken,21023,38.6888042,Kentucky,-84.09014784,160,-0.285969769,-0.254303713,-0.126305443,-1.691674643,-1.219504341,0.118176158,1.335820111,-0.054397248,0.686907974,-1.600797278,0.183561506,0.010391421,-0.131408168,-0.161541301,-0.158927662,-0.155791182
Breathitt,21025,37.52162305,Kentucky,-83.32406776,366,-0.270370814,-0.174900368,-0.133818855,-1.63903707,-1.249097473,-1.480114127,1.700739125,1.227316412,1.669044734,0.37902913,1.511974848,1.18919619,-0.119431068,-0.158097127,-0.15606858,-0.153459645
Breckinridge,21027,37.77336382,Kentucky,-86.42932307,387,-0.250306227,-0.154194355,-0.129427614,-1.147291319,0.05368856,-0.889960219,1.483031759,1.142514941,0.136483472,-0.463833004,0.699551047,0.797531033,-0.119498026,-0.144206732,-0.149168944,-0.152451609
Bullitt,21029,37.97008089,Kentucky,-85.6958651,1113,-0.072766622,-0.228995529,-0.003465268,-1.229710677,-0.928046398,-0.354085259,-0.281780175,-1.05816976,-1.515825314,-1.597337253,-1.649759722,-1.294812802,-0.084311633,-0.063920062,-0.089725281,-0.128672115
Butler,21031,37.20729089,Kentucky,-86.68163185,260,-0.27236374,-0.193263268,-0.132294986,-1.165991509,0.467648306,-1.168615199,1.238715715,0.794309718,0.965053522,-0.28875573,0.778854138,1.018124053,-0.12292962,-0.155846807,-0.156610965,-0.153989046
Caldwell,21033,37.14541433,Kentucky,-87.86786964,230,-0.272579025,-0.215770743,-0.128458912,-0.590441201,-1.716737784,0.023447294,0.763560749,-1.614744312,0.417734864,-0.87142397,-0.712667307,0.018356318,-0.128512238,-0.15502248,-0.155160402,-0.153568426
Calloway,21035,36.62103865,Kentucky,-88.27225155,511,-0.194018358,-0.204632315,-0.09370198,-0.458154668,-0.105288499,1.091048506,0.20477851,-1.367954726,0.726593753,1.451982939,1.040311925,0.003811723,-0.116978734,-0.137379973,-0.135899444,-0.133567253
Campbell,21037,38.94652086,Kentucky,-84.3795205,1319,-0.030543031,-0.269335293,0.187185859,-0.776750507,-0.770101657,1.455443479,-1.367552467,-0.938063187,1.122071169,0.752365847,0.4869218,-0.855011963,-0.08896521,-0.088934142,-0.095010377,-0.074640664
Carlisle,21039,36.85320795,Kentucky,-88.9709876,86,-0.296580257,-0.258782736,-0.13449515,-1.139326423,-0.817244205,-1.590054926,0.97055553,0.241196451,0.086099788,-0.880074033,-0.663146163,-0.362227243,-0.133567562,-0.167690595,-0.161277995,-0.156719445
Carroll,21041,38.66785708,Kentucky,-85.12355035,244,-0.278674674,-0.275633624,-0.102416681,-0.381968707,0.06366764,-0.792119823,0.87137773,1.561330369,1.201097634,0.678667311,1.515437865,1.494632678,-0.12518945,-0.160427985,-0.156236762,-0.156393102
Carter,21043,38.31819228,Kentucky,-83.04954362,541,-0.227879654,-0.197856822,-0.111966703,-1.588130996,-1.003405654,-0.264888007,1.58324626,0.032827122,-0.1402817,0.446153619,0.828721583,0.652085086,-0.105805129,-0.138602252,-0.144611233,-0.150047553
Casey,21045,37.32230998,Kentucky,-84.92833461,318,-0.262829678,-0.188239664,-0.129096983,-1.269535157,-0.597016244,-1.378816474,1.445710496,-0.763960576,0.64308107,0.326090745,0.067896737,0.75043425,-0.116175239,-0.152971136,-0.154718926,-0.153434263
Christian,21047,36.89417832,Kentucky,-87.49046175,1047,-0.084425857,-0.112581758,-0.0917181,0.807571191,-0.292482266,0.757768853,-0.334306397,0.260925772,1.122071169,1.426378752,1.436134774,1.276117458,-0.089099125,-0.114336699,-0.103015804,-0.13184489
Clark,21049,37.97082843,Kentucky,-84.14742374,712,-0.202002365,-0.241332447,-0.070364579,-0.524297934,-0.002400748,0.543073143,-0.281780175,0.161586906,0.60788151,-0.986988811,-0.044651317,0.029091614,-0.109044219,-0.133087784,-0.131413209,-0.140075974
Clay,21051,37.15971597,Kentucky,-83.71466872,520,-0.246738643,-0.18131429,-0.123957542,-0.790948799,-0.94869277,-0.949425054,1.522771992,0.810923883,1.649374391,1.400082561,1.660884581,1.428143103,-0.095292734,-0.149787525,-0.153276772,-0.153347238
Clinton,21053,36.72744867,Kentucky,-85.13617843,182,-0.280532278,-0.256620071,-0.120354513,-1.453766664,-1.716737784,-1.455913323,1.58082729,-1.286268411,0.64308107,-0.432000772,-0.561679763,0.442573663,-0.12227678,-0.160669598,-0.158284368,-0.155881832
Crittenden,21055,37.35273018,Kentucky,-88.09720276,180,-0.283487837,-0.211573097,-0.134807867,-1.545189817,0.042677162,-1.727653787,0.78982386,0.591478445,1.456121901,0.163123559,0.620247957,0.417293772,-0.129625413,-0.161451288,-0.157527553,-0.155515604
Cumberland,21057,36.78660489,Kentucky,-85.38851697,137,-0.290964387,-0.226737142,-0.136684377,-1.076646155,-1.294863596,-1.282013255,0.890038362,-0.931486747,1.217662133,-0.67766256,-0.492419422,0.157222567,-0.130805547,-0.164184834,-0.160012431,-0.156179167
Daviess,21059,37.73185426,Kentucky,-87.08723563,1524,-0.00819027,-0.184326692,-0.029224215,-0.396513299,0.378868909,0.701415551,-0.697497574,0.658627364,0.467083267,0.603584764,0.866122167,0.427336469,-0.081524509,-0.064521726,-0.071368297,-0.102140464
Edmonson,21061,37.20880569,Kentucky,-86.23842717,222,-0.274645764,-0.22737302,-0.126845107,-1.355417513,-0.251877736,-0.831532562,1.478539384,0.808500984,-0.202053478,0.682819341,0.95200499,0.827312822,-0.122134495,-0.157737076,-0.154668471,-0.155258155
Elliott,21063,38.11790732,Kentucky,-83.09762128,137,-0.288254868,-0.246356833,-0.130854882,-1.636612971,-1.372631595,-1.466630822,1.710760575,-0.511632934,1.079279547,1.611490099,1.182641926,1.076648731,-0.126696004,-0.162749367,-0.160130158,-0.15657803
Estill,21065,37.69245159,Kentucky,-83.96431426,360,-0.267510595,-0.241162508,-0.117376575,-1.695137641,-1.716737784,-0.269382442,1.192755271,1.219701586,0.843925622,-1.277976929,0.85850353,1.110932419,-0.117598095,-0.152184708,-0.156741305,-0.154917309
Fayette,21067,38.04232452,Kentucky,-84.45872432,3703,0.646292305,-0.232699193,0.461950699,0.61121919,1.097706739,1.620700402,-1.594244581,0.233235496,0.965053522,0.937477194,1.075634699,-0.028047865,0.01463545,0.019180693,0.079633239,0.170953872
Fleming,21069,38.37012696,Kentucky,-83.69665972,282,-0.267089251,-0.214732299,-0.125831388,-1.473505754,0.514790854,-1.348046879,1.516206214,1.150129767,0.912254181,-1.650275638,0.23100484,1.001501659,-0.121414697,-0.155297256,-0.154252223,-0.153934655
Floyd,21071,37.55712885,Kentucky,-82.74570873,978,-0.194504287,-0.202327962,-0.095096468,-1.661892858,-1.337532764,-0.065749957,1.500655688,0.037326792,1.537218928,0.219175967,1.435095869,1.144869806,-0.08507328,-0.128236568,-0.137030463,-0.147984342
Franklin,21073,38.23917512,Kentucky,-84.87705638,893,-0.158096474,-0.253711578,-0.015203186,0.141636628,0.229870929,1.153970598,-0.926263092,-0.776075072,-0.1402817,0.779700046,-0.029067741,-0.039129461,-0.105487079,-0.121348221,-0.123727326,-0.120034915
Fulton,21075,36.55596083,Kentucky,-89.14408354,157,-0.292369892,-0.254215557,-0.1319623,0.655545568,-1.35955556,-0.780019421,-0.611796896,-1.169276994,1.669044734,1.320847984,0.150662844,1.224172477,-0.130638152,-0.166411466,-0.16006709,-0.156418485
Gallatin,21077,38.75685213,Kentucky,-84.85928914,190,-0.285542274,-0.284002947,-0.100715724,-0.626802682,0.487606465,0.59493201,1.578753886,1.085057618,0.417734864,-0.902218194,1.304886428,0.743508253,-0.129039531,-0.161891877,-0.158999139,-0.15606676
Garrard,21079,37.63960523,Kentucky,-84.53766735,286,-0.259375888,-0.247530261,-0.107815544,-1.035782775,-1.094593794,-1.727653787,0.20477851,0.569326224,-0.330428346,-1.380393674,-1.205454634,-0.087611443,-0.118568985,-0.152364734,-0.151489846,-0.150627717
Grant,21081,38.64882083,Kentucky,-84.62458874,464,-0.235835982,-0.239809447,-0.095766387,-1.030241978,-0.20817625,-1.134388346,1.179278148,1.333231718,-0.62582858,-0.245851417,0.192565351,0.633384893,-0.120175975,-0.137967425,-0.147419859,-0.150983068
Graves,21083,36.72311012,Kentucky,-88.65120578,641,-0.196857048,-0.158472672,-0.111355596,-0.223363387,0.888490176,-0.503784522,0.445638881,0.309383756,1.217662133,-0.279759664,0.574882433,0.973105069,-0.111739276,-0.12703324,-0.132846954,-0.142683089
Grayson,21085,37.46081988,Kentucky,-86.34391732,545,-0.231570258,-0.173178817,-0.119933393,-1.318017132,-0.933552097,-0.251750428,1.130898733,0.022789397,0.030884791,-0.853777842,-0.031491853,0.278427523,-0.110508924,-0.137744762,-0.144211802,-0.151722778
Green,21087,37.26404373,Kentucky,-85.55312695,188,-0.277607474,-0.232036938,-0.127410676,-1.102964941,-0.183056498,-1.339058009,0.611856727,-1.523020272,0.511255265,-1.013631005,-1.232119865,0.04017321,-0.12195873,-0.15990212,-0.157035622,-0.154743259
Greenup,21089,38.54569985,Kentucky,-82.92235354,660,-0.200313914,-0.215864928,-0.090489527,-1.516446932,-1.438355877,-0.579498468,0.435617431,0.207968119,-0.691741483,-0.994600866,-0.848417575,-0.440491014,-0.114903038,-0.13092274,-0.127015269,-0.142788243
Hancock,21091,37.84149178,Kentucky,-86.77791301,125,-0.285010211,-0.259275766,-0.123204419,-1.442685069,-0.02304712,-0.656595317,1.187226195,-0.631739507,-1.434728287,-0.813987552,-1.116108794,-0.154793619,-0.131140337,-0.162142965,-0.157725166,-0.156113898
Hardin,21093,37.69796896,Kentucky,-85.96345192,1429,0.019024863,-0.138663957,-0.05303181,0.429411782,0.151070612,1.023977704,-0.031935055,-0.703388097,0.242082154,0.511202092,0.493501533,0.344570799,-0.081474291,-0.070746821,-0.050316209,-0.101302851
Harlan,21095,36.85695268,Kentucky,-83.21799779,761,-0.225606857,-0.182261055,-0.115567758,-1.285118649,-1.552255026,-0.260393572,1.098069845,0.546481746,1.609688612,0.374531097,1.472496453,1.212051982,-0.095619154,-0.14350558,-0.143711463,-0.151189752
Harrison,21097,38.44182669,Kentucky,-84.33136115,348,-0.254522743,-0.226409693,-0.115216156,-0.973102507,-0.163442445,-0.567398066,0.595269499,-0.624124681,0.417734864,0.018840509,-0.173475552,0.460234956,-0.118820077,-0.149389574,-0.150459736,-0.151675639
Hart,21099,37.29993744,Kentucky,-85.88469548,329,-0.254888728,-0.197031141,-0.124079066,-0.674245758,-0.28043855,-0.603699273,1.016515974,-0.394641517,1.606582768,-0.630260215,0.465797396,0.929817585,-0.113137023,-0.150048089,-0.152276093,-0.153310978
Henderson,21101,37.79596563,Kentucky,-87.57303228,781,-0.169229797,-0.190385549,-0.089953707,-0.205702096,-0.729497127,0.826914009,-0.243076643,-0.315378101,1.217662133,0.431621513,0.947503068,0.66870748,-0.10320214,-0.119614291,-0.121242448,-0.137439851
Henry,21103,38.44847382,Kentucky,-85.11892067,282,-0.26405988,-0.231971405,-0.118868476,-0.687405152,-0.97931822,-1.130931089,0.544471114,0.407338108,-0.75247798,-1.552010923,-1.147275947,-0.37088474,-0.124687266,-0.152843223,-0.151111438,-0.153361743
Hickman,21105,36.67813634,Kentucky,-88.97615015,93,-0.297389114,-0.244153519,-0.138272051,-0.245180276,-1.716737784,-1.559285331,0.684425849,0.727160798,-0.072298235,0.854782592,0.251782942,0.486900047,-0.132772436,-0.167633745,-0.162102083,-0.15665055
